Diet,Pronotum,Mass0,Delta_smi,Song_week1
48,2.202884615,0.18661,0.002128935,5.605802066
48,2.433653846,0.18394,0.033531311,3.135494216
60,2.331730769,0.194,0.015661462,0
60,2.370192308,0.22312,0.016203265,5.407171771
60,2.240384615,0.18593,0.021792921,6.056784013
60,2.226923077,0.20282,-0.013269167,0
72,2.516346154,0.2011,0.049372906,4.127134385
72,2.399038462,0.23248,-0.040546193,0
72,2.302884615,0.16508,NA,4.276666119
72,2.524038462,0.21167,0.058044429,5.860786223
84,2.414423077,0.19311,0.034405588,3.688879454
84,2.528846154,0.23266,0.057543815,7.519149958
84,2.4375,0.2067,0.046335167,7.608870629
84,2.510576923,0.22549,0.033028647,2.48490665
12,2.369230769,0.22465,-0.018989823,0
12,2.418269231,0.20198,0.013645193,1.945910149
12,2.505769231,0.26678,-0.042507233,8.377701213
12,2.319230769,0.184963,-0.013818036,0
12,2.659615385,0.23817,-0.003224147,5.743003188
12,2.564423077,0.2585,-0.016357483,8.117014088
12,2.506730769,0.21546,-0.00718881,7.943427768
12,2.183653846,0.1516,0.006791393,0
12,2.433653846,0.20823,0.01030345,2.63905733
12,2.458653846,0.2156,9.80E-05,6.508769137
12,2.399038462,0.24924,-0.05047817,8.224699562
12,2.443269231,0.24079,-0.031642391,5.049856007
12,2.331730769,0.1879,-1.81E-04,5.926926026
12,2.264423077,0.17269,NA,1.945910149
12,2.360576923,0.24033,NA,0
12,2.230769231,0.19914,NA,0
24,2.125,0.23774,-0.026301248,5.978885765
24,2.377884615,0.19033,0.01059896,6.520621128
24,2.468269231,0.19495,0.00849381,7.136483209
24,NA,0.20139,NA,6.797940413
24,2.452884615,0.24612,-0.023441375,6.413458957
24,2.447115385,0.19836,0.002669043,4.543294782
24,2.408653846,0.2093,0.003368889,8.919319398
24,2.456730769,0.19771,0.016219524,4.17438727
24,2.548076923,0.25076,0.009597637,6.951772164
24,2.211538462,0.17429,0.009390519,6.532334292
24,NA,0.25913,NA,7.418180823
24,2.371153846,0.19195,-0.008040573,0
24,2.365384615,0.18929,0.012745379,5.686975356
24,2.174038462,0.14171,0.017459013,6.025865974
24,2.235576923,0.17752,-0.014963849,0
24,2.154807692,0.14038,0.018767051,4.025351691
36,2.324038462,0.18924,0.010249197,6.673297968
36,2.346153846,0.21418,-1.06E-04,8.407601515
36,2.539423077,0.21257,0.017502071,6.390240667
36,2.432692308,0.23169,0.026395075,8.711443319
36,2.5625,0.22513,0.014133911,7.690743164
36,2.511538462,0.20754,0.027159781,7.685243608
36,2.463461538,0.21117,0.035480843,7.826443135
36,2.302884615,0.18817,0.017591991,6.771935556
36,2.492307692,0.19427,0.022840152,6.52649486
36,2.390384615,0.24002,-0.023308889,6.787844982
36,2.504807692,0.23625,-0.001805095,7.423568444
36,2.213461538,0.20996,0.0028043,8.718500048
36,2.0625,0.14941,0.006165588,5.023880521
36,2.480769231,0.25492,-0.009228662,4.127134385
36,2.539423077,0.26534,-0.031773537,5.613128106
36,2.639423077,0.26288,0.020721393,4.48863637
48,2.288461538,0.17402,0.026029887,6.925595197
